country,year,NY.GDP.MKTP.KD.ZG
United States,2024,2.79300127716779
United States,2023,2.88755600749487
United States,2022,2.51237531986017
United States,2021,6.05505293244555
United States,2020,-2.16302914036166
United States,2019,2.58382533412825
United States,2018,2.96650506901305
United States,2017,2.45762229852507
United States,2016,1.81945147788167
United States,2015,2.94555045484053
United States,2014,2.52381981363968
United States,2013,2.11783009790057
United States,2012,2.28911338669843
United States,2011,1.56440685763506
United States,2010,2.69519257744442
United States,2009,-2.57650022958367
United States,2008,0.113587249881704
United States,2007,2.00385829784946
United States,2006,2.78453963650701
United States,2005,3.48354993555606
United States,2004,3.84777169556921
United States,2003,2.79560596320081
United States,2002,1.70044732643726
United States,2001,0.955538348341605
United States,2000,4.07758575682804
United States,1999,4.78842504725272
United States,1998,4.48313335374613
United States,1997,4.44712793566428
United States,1996,3.77277269119453
United States,1995,2.6844307317787
United States,1994,4.02902272983438
United States,1993,2.75179586709815
United States,1992,3.52249717301392
United States,1991,-0.108312882368935
United States,1990,1.88596558187626
United States,1989,3.67223784383981
United States,1988,4.1769823865164
United States,1987,3.45462966856461
United States,1986,3.46265505694664
United States,1985,4.16957534699196
United States,1984,7.23645316474058
United States,1983,4.58379098362749
United States,1982,-1.80301378934359
United States,1981,2.53770126828974
United States,1980,-0.256775731395592
United States,1979,3.16598821816159
United States,1978,5.53520648243719
United States,1977,4.62418650601657
United States,1976,5.38803391770217
United States,1975,-0.205619191121627
United States,1974,-0.540550192633191
United States,1973,5.64567976314829
United States,1972,5.25550195781351
United States,1971,3.29272245005524
United States,1970,0.216606498194878
United States,1969,3.09999999999999
United States,1968,4.7999999999997
United States,1967,2.49999999999999
United States,1966,6.50000000000021
United States,1965,6.39999999999981
United States,1964,5.8000000000003
United States,1963,4.39999999999982
United States,1962,6.10000000000011
United States,1961,2.29999999999977
United States,1960,
